"intermunicipality_id";"department_id"
11;291
12;245
13;280
13;314
14;270
15;311
16;227
17;298
18;321
19;269
20;227
21;232
22;256
23;257
24;259
25;243
25;262
26;267
27;294
28;299
29;300
30;303
30;317
31;304
32;244
32;313
33;315
34;324
35;270
36;311
37;262
38;245
39;309
40;233
41;233
42;296
43;233
44;317
45;313
46;239
46;251
47;253
48;262
49;274
50;252
51;259
52;280
52;283
53;289
54;291
55;306
56;257
57;227
58;251
59;232
60;269
61;229
62;244
63;250
64;253
65;260
66;260
67;256
67;260
68;261
69;300
70;226
70;295
71;293
72;249
72;296
73;256
74;277
75;284
76;283
77;314
78;275
79;256
79;274
80;281
81;281
82;283
83;286
84;290
84;291
85;307
86;258
86;273
86;308
87;270
88;257
89;263
90;264
90;295
91;227
92;231
93;239
94;245
95;249
96;253
97;248
97;259
98;260
99;266
100;275
101;283
102;280
102;283
103;286
104;296
105;298
106;300
107;300
108;300
109;304
109;317
110;306
111;315
112;245
112;297
113;293
114;260
115;252
116;266
117;280
118;272
119;262
120;276
121;317
122;281
123;281
124;308
125;260
125;307
126;280
127;302
128;264
129;299
130;265
131;312
132;291
133;226
134;275
135;279
136;279
137;293
138;296
139;298
140;300
141;300
142;306
143;309
144;324
145;325
146;302
147;294
148;245
149;231
150;285
151;238
151;309
151;310
152;246
153;239
154;273
155;235
156;274
157;239
158;249
159;302
160;267
160;271
161;263
162;313
163;265
164;303
165;235
166;253
167;258
168;265
169;269
170;270
171;272
172;287
173;271
174;243
175;306
176;283
177;227
178;232
178;250
179;229
179;310
180;285
181;277
182;234
183;239
184;277
185;277
186;315
187;277
188;237
188;272
189;234
190;287
191;265
192;278
193;297
194;302
194;306
195;305
196;298
197;299
198;245
199;228
200;314
201;251
202;287
203;311
204;227
205;229
206;311
207;285
208;227
209;227
210;232
211;240
212;243
213;245
214;251
215;258
216;259
217;259
218;246
218;261
219;262
220;262
221;264
222;265
223;266
224;271
225;271
226;280
227;283
228;285
229;292
230;294
231;302
231;306
232;308
233;317
234;234
235;237
236;242
237;242
238;254
239;245
240;250
241;259
242;266
243;283
244;285
245;292
246;299
247;300
248;302
249;311
250;325
251;252
252;241
253;273
254;307
255;262
256;268
257;254
258;263
259;285
260;260
261;230
262;249
263;237
264;288
265;274
266;291
267;239
268;266
269;252
270;236
270;292
271;235
272;245
273;241
274;258
275;263
276;298
277;245
278;269
279;303
280;232
281;251
282;257
283;263
284;235
285;238
286;239
287;240
288;257
289;259
290;261
291;263
292;270
293;280
294;283
295;296
296;298
297;298
298;299
299;250
299;310
300;300
301;309
302;303
303;226
304;304
305;295
306;305
307;259
308;281
309;313
310;326
311;294
312;294
313;281
314;290
315;300
316;243
316;284
317;278
317;314
318;314
319;257
320;288
321;276
322;280
322;281
323;226
323;297
324;265
325;289
326;297
327;236
328;290
328;291
329;255
330;255
331;279
332;302
333;236
334;240
335;247
336;249
337;249
338;257
339;258
340;264
341;267
342;267
343;269
344;275
345;282
346;289
347;296
348;313
349;235
350;267
351;285
352;255
353;229
353;309
354;300
355;309
356;303
357;290
358;248
359;296
360;227
361;251
362;276
363;240
364;282
365;235
366;246
367;284
368;264
369;257
370;243
371;288
371;306
372;252
373;311
374;297
375;243
376;245
377;306
378;306
379;228
379;297
380;235
381;237
382;245
383;253
384;258
385;259
386;259
387;260
388;264
389;268
390;273
391;286
392;286
393;288
394;295
395;299
396;299
397;307
398;310
399;245
400;303
401;265
402;255
403;268
404;236
405;287
406;261
407;285
408;248
409;263
410;317
411;304
412;249
413;294
414;271
415;237
416;247
417;282
418;289
419;287
420;241
421;283
422;302
423;252
424;306
425;229
426;228
427;287
428;227
429;279
430;286
431;293
432;300
433;302
434;256
434;310
435;310
436;313
437;323
438;323
439;243
440;257
440;307
441;261
442;307
443;232
444;288
445;252
446;239
447;281
448;244
449;253
450;308
451;308
452;284
453;250
454;314
455;266
456;261
457;265
458;251
459;226
460;230
461;233
462;239
463;240
464;245
465;266
466;269
467;273
468;312
469;299
470;306
471;260
472;304
473;226
474;228
475;230
476;232
477;240
478;245
479;246
480;248
481;253
482;253
483;256
484;256
485;265
486;281
487;282
488;285
488;288
489;286
490;293
491;296
492;300
493;307
494;311
495;313
496;313
497;315
498;325
499;314
500;243
501;264
502;256
503;287
504;231
505;242
506;285
507;297
508;279
509;290
510;315
511;250
512;246
513;287
514;278
515;314
516;246
516;282
517;286
518;296
519;299
520;312
521;313
522;243
523;303
524;257
525;315
526;232
527;280
528;259
529;303
529;321
530;303
530;317
531;251
531;252
532;258
533;286
534;237
535;299
536;246
537;297
538;283
538;293
539;306
540;287
540;298
541;298
542;227
543;266
544;297
545;287
546;267
547;261
548;298
549;228
550;254
551;258
552;259
553;260
554;261
555;262
556;268
557;270
558;273
559;274
560;284
561;286
562;286
563;286
564;288
565;292
566;292
567;279
567;298
568;303
569;310
570;315
571;321
572;322
573;299
574;273
575;254
576;298
577;248
578;293
579;260
580;277
581;267
582;321
583;307
584;233
585;226
586;237
587;243
588;255
589;255
590;258
591;260
592;260
593;262
594;262
595;266
596;266
597;270
598;275
599;277
600;280
601;283
602;291
603;249
603;296
604;302
605;302
606;302
607;317
608;274
609;262
610;300
611;257
611;258
612;309
613;307
614;264
614;299
615;248
616;310
617;282
618;294
619;276
620;298
621;245
622;271
623;251
624;241
625;227
625;306
626;269
627;237
627;272
628;264
629;280
630;280
631;257
632;226
633;233
634;237
635;237
636;243
637;255
638;248
639;249
640;253
641;259
642;261
643;261
644;262
645;265
646;269
647;285
648;286
649;291
650;297
651;311
652;324
653;310
654;262
655;255
656;264
657;305
658;236
659;295
660;301
660;317
660;318
660;319
660;320
660;321
661;303
662;275
663;326
664;326
665;281
666;234
667;244
667;247
668;282
669;229
669;230
670;283
671;286
672;286
673;287
674;288
675;226
676;235
677;288
678;248
679;258
680;236
681;297
682;277
683;260
684;250
685;279
686;239
687;234
688;272
689;237
690;290
691;282
692;285
693;281
694;283
695;294
696;303
697;303
698;303
699;310
700;310
701;311
702;311
703;317
704;322
705;251
705;302
706;313
707;291
708;311
709;275
710;303
711;227
712;244
713;254
714;266
715;268
716;271
717;273
718;277
719;279
720;280
721;240
721;289
722;293
723;293
724;294
725;249
725;296
726;303
727;305
728;306
729;311
730;316
731;325
732;266
733;248
734;261
735;291
736;306
737;227
738;311
739;278
740;265
741;227
742;243
743;254
744;249
745;249
746;246
746;253
747;256
748;259
749;270
749;282
750;264
751;281
752;293
753;293
754;258
755;258
756;261
757;240
758;284
758;315
759;290
760;295
761;286
762;309
763;316
764;235
765;274
766;259
767;228
768;275
769;231
770;242
771;242
772;242
773;253
774;257
775;260
776;261
777;266
778;272
779;280
780;284
781;284
782;293
783;293
784;296
785;296
786;297
787;299
788;311
789;313
790;315
791;322
792;302
793;317
794;258
794;266
795;307
796;248
797;226
798;285
799;243
800;251
801;308
802;254
803;253
804;284
804;315
805;229
806;230
807;270
808;283
809;250
810;249
811;282
812;248
813;256
814;256
815;248
816;251
816;252
817;242
818;242
819;296
820;276
821;244
822;280
823;304
823;321
824;239
825;281
826;244
827;276
828;290
829;290
830;247
831;271
831;315
832;271
833;286
834;253
835;229
835;230
835;250
836;262
837;246
838;248
839;259
840;264
841;268
842;268
843;270
844;270
845;274
846;281
847;283
848;286
849;287
850;288
851;290
852;292
853;293
854;294
855;298
856;302
857;304
857;321
858;289
859;259
860;228
861;300
862;232
863;266
864;226
865;241
866;280
867;226
867;300
868;228
868;284
869;245
870;227
871;311
872;243
873;227
874;227
875;235
876;242
877;250
878;251
879;253
880;253
881;253
882;265
883;271
884;294
885;295
886;297
887;308
888;310
889;315
890;243
891;265
892;292
893;236
894;273
895;232
896;309
897;299
898;247
899;314
900;226
901;241
902;259
903;322
904;304
905;293
906;293
907;237
908;271
909;260
910;267
911;303
912;281
913;288
914;259
915;296
916;283
917;232
918;242
919;242
920;244
921;300
922;239
923;249
924;277
924;278
925;273
926;274
927;289
928;289
929;241
930;253
931;256
932;259
933;261
934;268
935;272
936;311
937;312
938;317
939;321
940;287
941;259
942;278
942;296
943;232
944;288
945;227
946;237
947;270
947;275
948;292
949;293
950;294
951;295
952;295
953;297
954;300
955;317
956;325
957;255
958;232
959;259
960;267
961;296
962;232
963;299
964;323
965;296
966;326
967;264
968;313
969;307
970;244
971;276
972;277
973;284
974;286
975;274
976;280
977;252
978;228
979;232
980;255
981;237
982;239
983;252
984;253
985;257
986;261
986;270
986;282
987;265
988;270
989;259
990;302
991;235
992;302
993;306
994;245
995;235
996;257
997;298
998;263
999;227
1000;237
1001;244
1002;245
1003;253
1004;258
1005;261
1006;266
1007;272
1008;280
1008;314
1009;283
1010;293
1011;297
1012;307
1013;231
1014;243
1015;277
1016;232
1016;256
1017;272
1018;242
1019;315
1020;231
1021;308
1022;295
1023;305
1024;282
1025;285
1026;326
1027;251
1028;268
1029;251
1029;302
1030;240
1031;315
1032;237
1033;253
1034;247
1035;229
1035;230
1036;234
1037;293
1038;314
1039;299
1040;303
1041;263
1042;304
1043;269
1044;226
1045;242
1046;247
1047;256
1048;258
1049;248
1049;259
1050;262
1051;271
1052;278
1053;286
1054;294
1055;297
1056;298
1057;303
1058;308
1059;309
1060;311
1061;324
1062;293
1062;294
1063;288
1064;307
1065;256
1066;236
1067;315
1068;267
1069;248
1070;322
1071;276
1072;285
1073;288
1074;278
1075;268
1075;295
1076;270
1077;230
1078;270
1079;229
1079;230
1080;287
1081;257
1082;239
1083;288
1084;302
1085;280
1086;303
1087;311
1088;241
1089;288
1090;303
1091;270
1092;257
1093;259
1094;259
1095;261
1096;263
1097;263
1098;264
1099;282
1100;288
1101;299
1102;300
1103;315
1104;321
1105;321
1106;300
1107;279
1108;273
1109;250
1109;310
1110;309
1111;248
1112;250
1113;264
1114;313
1115;248
1116;236
1117;312
1118;243
1119;284
1120;316
1121;312
1122;289
1123;289
1124;289
1125;232
1126;267
1127;288
1128;233
1129;234
1130;249
1131;253
1132;256
1133;261
1134;229
1134;250
1135;228
1136;248
1137;232
1137;250
1138;264
1139;237
1140;237
1140;274
1141;243
1142;266
1143;266
1144;267
1145;282
1146;283
1147;286
1148;288
1149;292
1150;292
1151;293
1152;309
1153;311
1154;300
1155;238
1156;321
1157;273
1158;283
1159;297
1160;303
1161;248
1162;248
1163;285
1164;279
1165;226
1166;292
1167;292
1168;294
1169;260
1170;277
1171;237
1172;284
1173;293
1174;293
1175;246
1176;305
1177;226
1178;304
1179;314
1180;258
1181;235
1182;293
1183;250
1184;250
1184;310
1185;305
1186;247
1187;234
1188;321
1189;268
1190;281
1191;257
1192;271
1193;246
1194;285
1195;288
1196;289
1197;294
1198;294
1199;295
1200;296
1201;297
1202;299
1203;303
1204;307
1205;309
1206;322
1207;239
1208;312
1209;306
1210;275
1211;297
1212;241
1213;271
1214;289
1215;226
1216;231
1217;237
1218;239
1219;249
1220;249
1221;256
1222;259
1223;264
1224;264
1225;269
1226;271
1227;297
1228;289
1229;255
1230;228
1231;228
1232;232
1233;233
1234;238
1235;240
1236;247
1237;248
1238;249
1239;236
1239;257
1239;307
1240;259
1241;269
1242;271
1243;277
1244;280
1245;283
1246;286
1247;287
1247;298
1248;295
1249;252
1249;304
1250;307
1250;308
1251;309
1252;272
1253;278
1254;247
1255;287
1256;305
1257;248
1258;277
1259;255
1260;283
1261;283
1262;293
1263;229
1264;273
